data_split,action,bin_left,bin_right,bin_mid,count,fraction
calibration,walk,0.84,0.86,0.85,1,0.0002523977788995457
calibration,walk,0.86,0.88,0.87,0,0.0
calibration,walk,0.88,0.9,0.89,1,0.0002523977788995457
calibration,walk,0.9,0.92,0.91,0,0.0
calibration,walk,0.92,0.9400000000000001,0.93,1,0.0002523977788995457
calibration,walk,0.9400000000000001,0.96,0.95,1,0.0002523977788995457
calibration,walk,0.96,0.98,0.97,0,0.0
calibration,walk,0.98,1.0,0.99,1,0.0002523977788995457
calibration,turn,0.0,0.02,0.01,1293,0.42560895325872283
calibration,turn,0.02,0.04,0.03,229,0.07537853851217907
calibration,turn,0.04,0.06,0.05,193,0.06352863726135616
calibration,turn,0.06,0.08,0.07,115,0.03785385121790652
calibration,turn,0.08,0.1,0.09,128,0.04213298222514812
calibration,turn,0.1,0.12,0.11,91,0.029953917050691243
calibration,turn,0.12,0.14,0.13,49,0.016129032258064516
calibration,turn,0.14,0.16,0.15000000000000002,49,0.016129032258064516
calibration,turn,0.16,0.18,0.16999999999999998,48,0.015799868334430547
calibration,turn,0.18,0.2,0.19,53,0.017445687952600396
calibration,turn,0.2,0.22,0.21000000000000002,44,0.014483212639894667
calibration,turn,0.22,0.24,0.22999999999999998,67,0.022053982883475973
calibration,turn,0.24,0.26,0.25,35,0.01152073732718894
calibration,turn,0.26,0.28,0.27,79,0.026003949967083606
calibration,turn,0.28,0.3,0.29000000000000004,67,0.022053982883475973
calibration,turn,0.3,0.32,0.31,31,0.01020408163265306
calibration,turn,0.32,0.34,0.33,15,0.004937458854509546
calibration,turn,0.34,0.36,0.35,22,0.007241606319947334
calibration,turn,0.36,0.38,0.37,16,0.005266622778143515
calibration,turn,0.38,0.4,0.39,10,0.0032916392363396972
calibration,turn,0.4,0.42,0.41000000000000003,9,0.0029624753127057276
calibration,turn,0.42,0.44,0.43,11,0.003620803159973667
calibration,turn,0.44,0.46,0.45,4,0.0013166556945358788
calibration,turn,0.46,0.48,0.47,13,0.004279131007241606
calibration,turn,0.48,0.5,0.49,35,0.01152073732718894
calibration,turn,0.5,0.52,0.51,44,0.014483212639894667
calibration,turn,0.52,0.54,0.53,41,0.013495720868992759
calibration,turn,0.54,0.56,0.55,27,0.008887425938117182
calibration,turn,0.56,0.58,0.5700000000000001,18,0.005924950625411455
calibration,turn,0.58,0.6,0.59,6,0.0019749835418038184
calibration,turn,0.6,0.62,0.61,9,0.0029624753127057276
calibration,turn,0.62,0.64,0.63,11,0.003620803159973667
calibration,turn,0.64,0.66,0.65,10,0.0032916392363396972
calibration,turn,0.66,0.68,0.67,13,0.004279131007241606
calibration,turn,0.68,0.7000000000000001,0.6900000000000001,18,0.005924950625411455
calibration,turn,0.7000000000000001,0.72,0.71,41,0.013495720868992759
calibration,turn,0.72,0.74,0.73,39,0.012837393021724819
calibration,turn,0.74,0.76,0.75,4,0.0013166556945358788
calibration,turn,0.76,0.78,0.77,17,0.005595786701777485
calibration,turn,0.78,0.8,0.79,5,0.0016458196181698486
calibration,turn,0.8,0.8200000000000001,0.81,11,0.003620803159973667
calibration,turn,0.8200000000000001,0.84,0.8300000000000001,9,0.0029624753127057276
calibration,turn,0.84,0.86,0.85,2,0.0006583278472679394
calibration,turn,0.86,0.88,0.87,1,0.0003291639236339697
calibration,turn,0.88,0.9,0.89,0,0.0
calibration,turn,0.9,0.92,0.91,5,0.0016458196181698486
calibration,turn,0.92,0.9400000000000001,0.93,0,0.0
calibration,turn,0.9400000000000001,0.96,0.95,1,0.0003291639236339697
calibration,turn,0.96,0.98,0.97,0,0.0
calibration,turn,0.98,1.0,0.99,0,0.0
validation,all,0.0,0.02,0.01,1701,0.567
validation,all,0.02,0.04,0.03,218,0.07266666666666667
validation,all,0.04,0.06,0.05,164,0.05466666666666667
validation,all,0.06,0.08,0.07,91,0.030333333333333334
validation,all,0.08,0.1,0.09,107,0.035666666666666666
validation,all,0.1,0.12,0.11,59,0.019666666666666666
validation,all,0.12,0.14,0.13,25,0.008333333333333333
validation,all,0.14,0.16,0.15000000000000002,23,0.007666666666666666
validation,all,0.16,0.18,0.16999999999999998,39,0.013
validation,all,0.18,0.2,0.19,27,0.009
validation,all,0.2,0.22,0.21000000000000002,22,0.007333333333333333
validation,all,0.22,0.24,0.22999999999999998,44,0.014666666666666666
validation,all,0.24,0.26,0.25,45,0.015
validation,all,0.26,0.28,0.27,46,0.015333333333333332
validation,all,0.28,0.3,0.29000000000000004,32,0.010666666666666666
validation,all,0.3,0.32,0.31,16,0.005333333333333333
validation,all,0.32,0.34,0.33,8,0.0026666666666666666
validation,all,0.34,0.36,0.35,13,0.004333333333333333
validation,all,0.36,0.38,0.37,7,0.0023333333333333335
validation,all,0.38,0.4,0.39,38,0.012666666666666666
validation,all,0.4,0.42,0.41000000000000003,7,0.0023333333333333335
validation,all,0.42,0.44,0.43,5,0.0016666666666666668
